"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct"
"Low games_played","Low games_started","Top three_points_made","Low rebounds","Low assists_turnover_ratio","Low steals","Low blocks","High true_shooting_att","Top true_shooting_pct","High efficiency","Top points_off_turnovers","Top effective_fg_pct","Top height","High weight","Low experience","High age","High Ratings_2k","Top total_fouls","Top Salary_pct"
"Low games_played","Low games_started","Bottom three_points_made","Bottom rebounds","Top assists_turnover_ratio","High steals","Low blocks","Low true_shooting_att","Low true_shooting_pct","Low efficiency","Top points_off_turnovers","Low effective_fg_pct","Bottom height","Bottom weight","Bottom experience","Bottom age","Low Ratings_2k","Low total_fouls","Bottom Salary_pct"
"Low games_played","Low games_started","Top three_points_made","High rebounds","Top assists_turnover_ratio","High steals","Low blocks","High true_shooting_att","High true_shooting_pct","High efficiency","Top points_off_turnovers","High effective_fg_pct","Low height","Low weight","Top experience","High age","High Ratings_2k","High total_fouls","High Salary_pct"
"High games_played","Top games_started","Bottom three_points_made","Top rebounds","Bottom assists_turnover_ratio","Low steals","Top blocks","High true_shooting_att","Top true_shooting_pct","Top efficiency","Top points_off_turnovers","Top effective_fg_pct","Top height","Top weight","High experience","High age","Top Ratings_2k","Top total_fouls","Top Salary_pct"
"High games_played","Top games_started","Top three_points_made","Top rebounds","Top assists_turnover_ratio","High steals","High blocks","Low true_shooting_att","Top true_shooting_pct","High efficiency","Top points_off_turnovers","Top effective_fg_pct","Bottom height","High weight","Low experience","High age","High Ratings_2k","Top total_fouls","High Salary_pct"
"Bottom games_played","Bottom games_started","Low three_points_made","Bottom rebounds","Bottom assists_turnover_ratio","Bottom steals","Bottom blocks","Bottom true_shooting_att","Bottom true_shooting_pct","Bottom efficiency","Low points_off_turnovers","Low effective_fg_pct","Low height","Low weight","Bottom experience","Bottom age","Bottom Ratings_2k","Bottom total_fouls","Bottom Salary_pct"
"High games_played","Bottom games_started","Top three_points_made","High rebounds","Low assists_turnover_ratio","High steals","Bottom blocks","Top true_shooting_att","High true_shooting_pct","Top efficiency","Top points_off_turnovers","High effective_fg_pct","Bottom height","Bottom weight","High experience","High age","Top Ratings_2k","Low total_fouls","Top Salary_pct"
"High games_played","Low games_started","High three_points_made","Low rebounds","Top assists_turnover_ratio","High steals","Low blocks","Low true_shooting_att","Low true_shooting_pct","Low efficiency","High points_off_turnovers","Low effective_fg_pct","Low height","Bottom weight","Bottom experience","Bottom age","Low Ratings_2k","Low total_fouls","Low Salary_pct"
"High games_played","High games_started","Bottom three_points_made","Top rebounds","High assists_turnover_ratio","High steals","Top blocks","Low true_shooting_att","Top true_shooting_pct","Top efficiency","High points_off_turnovers","Top effective_fg_pct","Top height","Top weight","Low experience","Low age","High Ratings_2k","Top total_fouls","High Salary_pct"
"Low games_played","High games_started","Top three_points_made","Low rebounds","High assists_turnover_ratio","Low steals","Low blocks","High true_shooting_att","Low true_shooting_pct","Low efficiency","Top points_off_turnovers","Low effective_fg_pct","Bottom height","Low weight","Low experience","Bottom age","Low Ratings_2k","Low total_fouls","Low Salary_pct"
"Bottom games_played","Bottom games_started","Bottom three_points_made","Bottom rebounds","High assists_turnover_ratio","Bottom steals","Low blocks","Bottom true_shooting_att","Low true_shooting_pct","Bottom efficiency","Low points_off_turnovers","Low effective_fg_pct","High height","High weight","Low experience","Low age","Bottom Ratings_2k","Bottom total_fouls","Bottom Salary_pct"
"Bottom games_played","Bottom games_started","Bottom three_points_made","Bottom rebounds","Bottom assists_turnover_ratio","Low steals","Bottom blocks","Bottom true_shooting_att","High true_shooting_pct","Bottom efficiency","High points_off_turnovers","Low effective_fg_pct","Bottom height","Low weight","Bottom experience","Low age","Low Ratings_2k","Bottom total_fouls","Bottom Salary_pct"
"Bottom games_played","High games_started","Top three_points_made","Low rebounds","Top assists_turnover_ratio","High steals","Top blocks","Top true_shooting_att","High true_shooting_pct","Top efficiency","Top points_off_turnovers","Low effective_fg_pct","Bottom height","Bottom weight","Low experience","High age","High Ratings_2k","Top total_fouls","Low Salary_pct"
"High games_played","Top games_started","High three_points_made","Top rebounds","Top assists_turnover_ratio","Top steals","Bottom blocks","Top true_shooting_att","Low true_shooting_pct","Top efficiency","Top points_off_turnovers","Low effective_fg_pct","Bottom height","Bottom weight","Low experience","Low age","Top Ratings_2k","High total_fouls","Top Salary_pct"
"High games_played","Top games_started","Low three_points_made","High rebounds","High assists_turnover_ratio","High steals","Bottom blocks","High true_shooting_att","Bottom true_shooting_pct","High efficiency","Top points_off_turnovers","Bottom effective_fg_pct","Bottom height","Bottom weight","High experience","High age","Low Ratings_2k","Low total_fouls","High Salary_pct"
"High games_played","Bottom games_started","Top three_points_made","High rebounds","Low assists_turnover_ratio","High steals","Top blocks","High true_shooting_att","Low true_shooting_pct","High efficiency","Top points_off_turnovers","High effective_fg_pct","High height","Top weight","Top experience","Top age","High Ratings_2k","Low total_fouls","Top Salary_pct"
"Bottom games_played","Low games_started","Low three_points_made","High rebounds","Top assists_turnover_ratio","Bottom steals","Bottom blocks","Bottom true_shooting_att","High true_shooting_pct","Low efficiency","High points_off_turnovers","Top effective_fg_pct","High height","High weight","High experience","Low age","Bottom Ratings_2k","Bottom total_fouls","High Salary_pct"
"High games_played","Top games_started","Top three_points_made","Top rebounds","High assists_turnover_ratio","High steals","Low blocks","Top true_shooting_att","Low true_shooting_pct","Top efficiency","Top points_off_turnovers","Low effective_fg_pct","Low height","Low weight","Bottom experience","Bottom age","Top Ratings_2k","Top total_fouls","High Salary_pct"
"Bottom games_played","Bottom games_started","Bottom three_points_made","Bottom rebounds","Top assists_turnover_ratio","Bottom steals","Bottom blocks","Bottom true_shooting_att","High true_shooting_pct","Bottom efficiency","High points_off_turnovers","Low effective_fg_pct","Bottom height","Bottom weight","Bottom experience","Bottom age","Bottom Ratings_2k","Bottom total_fouls","Bottom Salary_pct"
"High games_played","Top games_started","High three_points_made","Top rebounds","High assists_turnover_ratio","Low steals","High blocks","Top true_shooting_att","High true_shooting_pct","Top efficiency","Top points_off_turnovers","High effective_fg_pct","Low height","Low weight","Bottom experience","Bottom age","Top Ratings_2k","High total_fouls","Low Salary_pct"
"Low games_played","Low games_started","Bottom three_points_made","High rebounds","Bottom assists_turnover_ratio","Bottom steals","Top blocks","Low true_shooting_att","Top true_shooting_pct","Low efficiency","High points_off_turnovers","Top effective_fg_pct","High height","Top weight","Low experience","Bottom age","Low Ratings_2k","Low total_fouls","Bottom Salary_pct"
"High games_played","Bottom games_started","Low three_points_made","Low rebounds","Low assists_turnover_ratio","Bottom steals","Low blocks","Bottom true_shooting_att","High true_shooting_pct","Bottom efficiency","High points_off_turnovers","Top effective_fg_pct","High height","Low weight","Bottom experience","Bottom age","High Ratings_2k","Bottom total_fouls","High Salary_pct"
"High games_played","Low games_started","Top three_points_made","Bottom rebounds","Top assists_turnover_ratio","Low steals","Low blocks","High true_shooting_att","High true_shooting_pct","High efficiency","Top points_off_turnovers","Low effective_fg_pct","Bottom height","Bottom weight","Bottom experience","Bottom age","High Ratings_2k","Low total_fouls","Low Salary_pct"
"Low games_played","Low games_started","Bottom three_points_made","Top rebounds","High assists_turnover_ratio","High steals","Top blocks","Bottom true_shooting_att","Top true_shooting_pct","High efficiency","High points_off_turnovers","Top effective_fg_pct","High height","High weight","Top experience","Top age","High Ratings_2k","High total_fouls","Low Salary_pct"
"Bottom games_played","Bottom games_started","Bottom three_points_made","Bottom rebounds","Bottom assists_turnover_ratio","Bottom steals","Bottom blocks","Bottom true_shooting_att","Bottom true_shooting_pct","Bottom efficiency","Bottom points_off_turnovers","Bottom effective_fg_pct","Low height","Low weight","Low experience","Low age","Low Ratings_2k","Bottom total_fouls","Bottom Salary_pct"
"Bottom games_played","High games_started","Bottom three_points_made","Top rebounds","Bottom assists_turnover_ratio","Top steals","Top blocks","Low true_shooting_att","Top true_shooting_pct","Top efficiency","High points_off_turnovers","Top effective_fg_pct","Top height","High weight","Low experience","Bottom age","Top Ratings_2k","Top total_fouls","Bottom Salary_pct"
"Low games_played","Top games_started","Low three_points_made","High rebounds","Top assists_turnover_ratio","Top steals","Low blocks","Top true_shooting_att","Top true_shooting_pct","Top efficiency","Top points_off_turnovers","High effective_fg_pct","Low height","Low weight","Top experience","Top age","Top Ratings_2k","High total_fouls","Top Salary_pct"
"High games_played","Top games_started","Top three_points_made","High rebounds","Top assists_turnover_ratio","High steals","Low blocks","High true_shooting_att","Top true_shooting_pct","High efficiency","Top points_off_turnovers","Top effective_fg_pct","Low height","Low weight","High experience","High age","Low Ratings_2k","High total_fouls","Low Salary_pct"
"Low games_played","Low games_started","High three_points_made","Top rebounds","Top assists_turnover_ratio","High steals","Low blocks","High true_shooting_att","High true_shooting_pct","Top efficiency","High points_off_turnovers","High effective_fg_pct","Low height","Low weight","Low experience","Low age","High Ratings_2k","Top total_fouls","Low Salary_pct"
"High games_played","High games_started","Bottom three_points_made","Top rebounds","Low assists_turnover_ratio","Bottom steals","Top blocks","Low true_shooting_att","Top true_shooting_pct","Top efficiency","High points_off_turnovers","Top effective_fg_pct","Top height","High weight","Low experience","Bottom age","High Ratings_2k","Top total_fouls","High Salary_pct"
"Low games_played","Top games_started","Top three_points_made","High rebounds","High assists_turnover_ratio","High steals","Top blocks","Top true_shooting_att","Top true_shooting_pct","Top efficiency","Top points_off_turnovers","High effective_fg_pct","High height","Bottom weight","Low experience","Bottom age","Top Ratings_2k","High total_fouls","Top Salary_pct"
"High games_played","High games_started","High three_points_made","Top rebounds","High assists_turnover_ratio","High steals","Top blocks","High true_shooting_att","Top true_shooting_pct","High efficiency","High points_off_turnovers","Top effective_fg_pct","High height","Top weight","Low experience","High age","High Ratings_2k","Top total_fouls","High Salary_pct"
